Age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
57,538228.0,654822.0,734100.0,807904.0,884779.0,,1099504.0,1401404.0,1557041.0,1569575.0,1779454.0,2293251.0,1713738.0,1494037.0,1542017.0
58,546029.0,614845.0,746800.0,804604.0,897116.0,,1046434.0,1363915.0,1531802.0,1618969.0,1834074.0,2180630.0,1809889.0,1451956.0,1491947.0
59,483935.0,588782.0,717600.0,677519.0,854773.0,,992031.0,1323814.0,1490405.0,1631845.0,1785883.0,1367500.0,1920459.0,1525432.0,1461318.0
60,509423.0,566338.0,655200.0,698750.0,828825.0,,1035148.0,1253783.0,1421899.0,1566573.0,1632217.0,1470910.0,2066423.0,1575973.0,1469672.0
61,506771.0,527486.0,588600.0,662983.0,803481.0,,841665.0,1138526.0,1391994.0,1495647.0,1424441.0,1795818.0,2261917.0,1574411.0,1494495.0
62,469490.0,493466.0,608300.0,685399.0,755024.0,,860802.0,1058909.0,1351066.0,1505440.0,1526514.0,1745049.0,2244319.0,1671640.0,1450282.0
63,439686.0,484486.0,553700.0,664964.0,737223.0,,860417.0,1004770.0,1311019.0,1475258.0,1577067.0,1791638.0,2132584.0,1766553.0,1407740.0
64,378525.0,424817.0,538200.0,632363.0,627566.0,,867215.0,949550.0,1269036.0,1432191.0,1575594.0,1741214.0,1332006.0,1866433.0,1475001.0
65,384395.0,443796.0,497300.0,588363.0,640827.0,,832884.0,984602.0,1192291.0,1361069.0,1510217.0,1584111.0,1426865.0,1998950.0,1516441.0
66,370775.0,439205.0,454300.0,526254.0,601982.0,,833040.0,794746.0,1079429.0,1327237.0,1428250.0,1376543.0,1732916.0,2183550.0,1512118.0
67,355455.0,398580.0,429200.0,523087.0,615599.0,,794007.0,809914.0,1002117.0,1281247.0,1430201.0,1467269.0,1674435.0,2156356.0,1598839.0
68,338308.0,371119.0,421800.0,476643.0,590196.0,,773732.0,803086.0,945202.0,1233700.0,1392578.0,1504053.0,1714817.0,2037931.0,1679855.0
69,321782.0,314319.0,359000.0,447964.0,556982.0,,731018.0,801071.0,884537.0,1192825.0,1344693.0,1500634.0,1661140.0,1267080.0,1768015.0
70,289289.0,314235.0,377500.0,420524.0,518057.0,,701157.0,764979.0,913365.0,1113908.0,1273671.0,1430012.0,1500984.0,1351789.0,1886160.0
71,281740.0,298683.0,351200.0,381137.0,448018.0,,661447.0,758333.0,729445.0,999235.0,1229760.0,1344544.0,1298743.0,1634722.0,2052521.0
72,259893.0,280604.0,326500.0,344632.0,437548.0,,606959.0,713853.0,740123.0,922317.0,1180835.0,1336071.0,1376960.0,1570688.0,2014143.0
73,234738.0,258587.0,287600.0,324167.0,390434.0,,577723.0,687880.0,720881.0,861976.0,1128015.0,1291896.0,1400129.0,1600118.0,1893386.0
74,215948.0,240553.0,241800.0,274101.0,356349.0,,475691.0,638352.0,713720.0,797731.0,1088295.0,1234974.0,1386486.0,1538494.0,1165585.0
75,179801.0,210260.0,232700.0,274770.0,326963.0,,470244.0,603439.0,671353.0,812072.0,1006973.0,1156731.0,1308845.0,1380364.0,1234832.0
76,159121.0,198916.0,218700.0,258455.0,287599.0,,427553.0,556230.0,654840.0,638206.0,893671.0,1110735.0,1217357.0,1184257.0,1488292.0
77,139846.0,176509.0,184000.0,220691.0,251110.0,,417260.0,499585.0,607822.0,640113.0,817571.0,1054370.0,1197125.0,1242050.0,1416571.0
78,117045.0,153714.0,173500.0,191452.0,228677.0,,380477.0,463478.0,570999.0,609719.0,748699.0,993095.0,1143547.0,1249049.0,1430462.0
79,89840.0,136302.0,152100.0,150546.0,186082.0,,341151.0,370611.0,513199.0,588957.0,683686.0,947870.0,1074139.0,1221136.0,1360771.0
80,73275.0,107947.0,125400.0,139142.0,179777.0,,293885.0,354696.0,472578.0,542198.0,681785.0,859044.0,990275.0,1133614.0,1206058.0
81,67165.0,90486.0,118200.0,121857.0,161579.0,,243539.0,311481.0,422144.0,515141.0,520218.0,747664.0,932127.0,1038756.0,1017635.0
82,61658.0,75780.0,98000.0,105633.0,129731.0,,220759.0,292624.0,365509.0,461374.0,503819.0,668066.0,868554.0,1001491.0,1048747.0
83,40258.0,60284.0,76800.0,87672.0,106367.0,,182800.0,255051.0,325174.0,419209.0,470027.0,602291.0,801946.0,932746.0,1035057.0
84,33427.0,43290.0,68100.0,73812.0,79124.0,,152660.0,219085.0,247453.0,362843.0,438840.0,535328.0,743362.0,854813.0,989231.0
