Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
China,2020,Total,Both Sexes,76,Census - de jure - complete tabulation,"Final figure, complete",2024,6818961,"1,2"
China,2020,Total,Both Sexes,77,Census - de jure - complete tabulation,"Final figure, complete",2024,6019552,"1,2"
China,2020,Total,Both Sexes,78,Census - de jure - complete tabulation,"Final figure, complete",2024,5672036,"1,2"
China,2020,Total,Both Sexes,79,Census - de jure - complete tabulation,"Final figure, complete",2024,5548901,"1,2"
China,2020,Total,Both Sexes,80,Census - de jure - complete tabulation,"Final figure, complete",2024,4919088,"1,2"
China,2020,Total,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",2024,20382878,"1,2"
China,2020,Total,Both Sexes,81,Census - de jure - complete tabulation,"Final figure, complete",2024,4139582,"1,2"
China,2020,Total,Both Sexes,82,Census - de jure - complete tabulation,"Final figure, complete",2024,4242478,"1,2"
China,2020,Total,Both Sexes,83,Census - de jure - complete tabulation,"Final figure, complete",2024,3711083,"1,2"
China,2020,Total,Both Sexes,84,Census - de jure - complete tabulation,"Final figure, complete",2024,3370647,"1,2"
China,2020,Total,Both Sexes,85,Census - de jure - complete tabulation,"Final figure, complete",2024,2909233,"1,2"
China,2020,Total,Both Sexes,85 - 89,Census - de jure - complete tabulation,"Final figure, complete",2024,10826530,"1,2"
China,2020,Total,Both Sexes,86,Census - de jure - complete tabulation,"Final figure, complete",2024,2518664,"1,2"
China,2020,Total,Both Sexes,87,Census - de jure - complete tabulation,"Final figure, complete",2024,2285081,"1,2"
China,2020,Total,Both Sexes,88,Census - de jure - complete tabulation,"Final figure, complete",2024,1724439,"1,2"
China,2020,Total,Both Sexes,89,Census - de jure - complete tabulation,"Final figure, complete",2024,1389113,"1,2"
China,2020,Total,Both Sexes,90,Census - de jure - complete tabulation,"Final figure, complete",2024,1216116,"1,2"
China,2020,Total,Both Sexes,90 - 94,Census - de jure - complete tabulation,"Final figure, complete",2024,3652749,"1,2"
China,2020,Total,Both Sexes,91,Census - de jure - complete tabulation,"Final figure, complete",2024,843235,"1,2"
China,2020,Total,Both Sexes,92,Census - de jure - complete tabulation,"Final figure, complete",2024,712963,"1,2"
China,2020,Total,Both Sexes,93,Census - de jure - complete tabulation,"Final figure, complete",2024,511539,"1,2"
China,2020,Total,Both Sexes,94,Census - de jure - complete tabulation,"Final figure, complete",2024,368896,"1,2"
China,2020,Total,Both Sexes,95,Census - de jure - complete tabulation,"Final figure, complete",2024,289772,"1,2"
China,2020,Total,Both Sexes,95 - 99,Census - de jure - complete tabulation,"Final figure, complete",2024,819812,"1,2"
