Year,1,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,Women in Age Range Population Sum,Ratio
1996,1185000.0,939000.0,983000.0,1000000.0,978000.0,957000.0,928000.0,915000.0,896000.0,897000.0,702000.0,870000.0,814000.0,796000.0,773000.0,763000.0,772000.0,789000.0,771000.0,753000.0,795000.0,824000.0,828000.0,887000.0,940000.0,1000000.0,1080000.0,1189000.0,1181000.0,1126000.0,709000.0,769000.0,27624000.0,0.04289748045178106
1997,1188000.0,904000.0,939000.0,983000.0,1000000.0,978000.0,959000.0,930000.0,917000.0,897000.0,899000.0,702000.0,870000.0,814000.0,796000.0,773000.0,763000.0,772000.0,788000.0,771000.0,752000.0,795000.0,824000.0,828000.0,886000.0,939000.0,999000.0,1077000.0,1187000.0,1178000.0,1124000.0,708000.0,27752000.0,0.04280772556932834
1998,1195000.0,856000.0,906000.0,941000.0,984000.0,1001000.0,980000.0,962000.0,932000.0,918000.0,898000.0,901000.0,702000.0,871000.0,815000.0,797000.0,773000.0,763000.0,773000.0,788000.0,771000.0,752000.0,795000.0,824000.0,827000.0,886000.0,938000.0,998000.0,1076000.0,1186000.0,1176000.0,1122000.0,27912000.0,0.04281312697047865
2000,1166160.0,790541.0,821808.0,841135.0,883936.0,925199.0,973691.0,995701.0,975953.0,954488.0,929220.0,915242.0,896745.0,895971.0,702614.0,869898.0,814511.0,797785.0,773125.0,763260.0,772350.0,789135.0,770634.0,751750.0,792179.0,820721.0,823375.0,881209.0,932586.0,990345.0,1070463.0,1175634.0,27091204.0,0.043045705905134374
2001,1168000.0,782000.0,798000.0,828000.0,846000.0,889000.0,930000.0,979000.0,1001000.0,981000.0,959000.0,934000.0,919000.0,900000.0,899000.0,704000.0,872000.0,817000.0,799000.0,774000.0,764000.0,773000.0,790000.0,771000.0,752000.0,793000.0,821000.0,823000.0,881000.0,933000.0,990000.0,1070000.0,26772000.0,0.04362767070073211
2003,1161000.0,745000.0,754000.0,787000.0,802000.0,829000.0,846000.0,890000.0,931000.0,980000.0,1003000.0,983000.0,961000.0,936000.0,921000.0,903000.0,902000.0,705000.0,875000.0,818000.0,801000.0,776000.0,765000.0,774000.0,790000.0,771000.0,751000.0,791000.0,819000.0,821000.0,878000.0,929000.0,26237000.0,0.04425048595494912
2004,1123000.0,747000.0,747000.0,754000.0,787000.0,801000.0,828000.0,846000.0,889000.0,931000.0,980000.0,1002000.0,982000.0,960000.0,936000.0,920000.0,902000.0,902000.0,705000.0,874000.0,818000.0,801000.0,776000.0,765000.0,773000.0,790000.0,771000.0,750000.0,790000.0,818000.0,820000.0,877000.0,26042000.0,0.043122648030105216
2005,1091316.0,717475.0,724303.0,722848.0,729982.0,760627.0,782125.0,816883.0,839660.0,882203.0,924371.0,973483.0,995080.0,974451.0,954207.0,926907.0,913562.0,896126.0,893579.0,702820.0,870861.0,815550.0,795941.0,771168.0,761606.0,769944.0,786091.0,767125.0,747451.0,787750.0,815028.0,817565.0,25636772.0,0.04256838575464961
2006,1054000.0,705000.0,723000.0,729000.0,726000.0,732000.0,763000.0,785000.0,819000.0,842000.0,884000.0,926000.0,975000.0,997000.0,976000.0,955000.0,928000.0,915000.0,898000.0,895000.0,704000.0,872000.0,817000.0,797000.0,773000.0,763000.0,771000.0,787000.0,768000.0,748000.0,788000.0,816000.0,25577000.0,0.04120889861985377
2008,1087000.0,676000.0,686000.0,711000.0,727000.0,730000.0,727000.0,733000.0,764000.0,784000.0,817000.0,839000.0,880000.0,923000.0,971000.0,992000.0,971000.0,951000.0,924000.0,912000.0,895000.0,891000.0,702000.0,869000.0,814000.0,794000.0,769000.0,760000.0,768000.0,784000.0,764000.0,744000.0,25272000.0,0.043012029123140234
2009,1092000.0,657000.0,676000.0,684000.0,709000.0,725000.0,728000.0,725000.0,731000.0,762000.0,781000.0,815000.0,836000.0,878000.0,920000.0,969000.0,989000.0,969000.0,948000.0,922000.0,910000.0,893000.0,889000.0,700000.0,867000.0,812000.0,792000.0,767000.0,757000.0,765000.0,782000.0,762000.0,25120000.0,0.04347133757961783
2010,1045417.0,615342.0,633182.0,650335.0,662254.0,692406.0,714943.0,725675.0,730412.0,738542.0,771598.0,790366.0,825114.0,846215.0,887193.0,928180.0,978648.0,997629.0,977208.0,954562.0,927939.0,916907.0,898523.0,895344.0,702777.0,868952.0,812419.0,795184.0,770223.0,758369.0,766232.0,781299.0,25013972.0,0.04179332254789443
2011,1045000.0,605000.0,622000.0,638000.0,655000.0,667000.0,697000.0,719000.0,729000.0,734000.0,742000.0,774000.0,794000.0,828000.0,849000.0,890000.0,931000.0,982000.0,1001000.0,981000.0,958000.0,931000.0,920000.0,902000.0,898000.0,705000.0,872000.0,815000.0,798000.0,772000.0,760000.0,768000.0,24937000.0,0.04190560211733568
2012,1067000.0,596000.0,606000.0,621000.0,637000.0,653000.0,665000.0,695000.0,717000.0,727000.0,732000.0,739000.0,772000.0,792000.0,826000.0,847000.0,888000.0,929000.0,980000.0,999000.0,979000.0,956000.0,929000.0,918000.0,900000.0,896000.0,704000.0,870000.0,813000.0,795000.0,770000.0,758000.0,24709000.0,0.0431826459994334
